Rating,Cost(per hour USD),Cloud Instances,cluster
3.0,0.095,N1s2,0
3.0,0.1184,N1M2,0
2.0,0.09,Lin.M,1
2.666666667,0.0709,N1cc,0
4.0,0.085,c5.large,2
3.0,0.126,E2s,0
2.0,0.045,Lin.C,1
1.0,0.0832,B2ms,3
3.0,0.095,N1s2,0
4.0,0.0752,t3a.large,2
3.0,0.133,r4.large,0
4.0,0.0208,t3.small,2
3.0,0.023,t2.small,0
3.0,0.0928,t2.large,0
4.0,0.0709,N1cc,2
3.0,0.085,F2s,0
3.0,0.126,E2s,0
4.0,0.1,c4.large,2
3.0,0.023,t2.small,0
3.0,0.0709,N1cc,0
4.0,0.085,c5.large,2
3.0,0.0376,t3a.medium,0
3.0,0.0464,t2.medium,0
1.0,0.0188,t3a.small,3
3.0,0.1,m4.large,0
2.0,0.09,Lin.M,1
2.0,0.045,Lin.C,1
3.0,0.015,Lin.G,0
2.0,0.045,Lin.C,1
3.0,0.1,m4.large,0
3.0,0.126,E2s,0
4.0,0.133,r4.large,2
3.0,0.0832,B2ms,0
2.0,0.045,Lin.C,1
4.0,0.085,c5.large,2
3.0,0.0464,t2.medium,0
1.0,0.0188,t3a.small,3
4.0,0.1,c4.large,2
3.0,0.0464,t2.medium,0
2.0,0.1184,N1M2,1
2.0,0.09,Lin.M,1
3.0,0.095,N1s2,0
2.0,0.0832,B2ms,1
2.0,0.09,Lin.M,1
3.0,0.023,t2.small,0
2.0,0.045,Lin.C,1
3.0,0.0376,t3a.medium,0
1.0,0.0188,t3a.small,3
2.0,0.015,Lin.G,1
2.0,0.015,Lin.G,1
3.0,0.0464,t2.medium,0
3.0,0.1184,N1M2,0
4.0,0.0752,t3a.large,2
3.0,0.1184,N1M2,0
4.0,0.0208,t3.small,2
4.0,0.0208,t3.small,2
2.666666667,0.1,c4.large,0
2.666666667,0.0709,N1cc,0
3.0,0.023,t2.small,0
3.0,0.133,r4.large,0
4.0,0.085,c5.large,2
4.0,0.0752,t3a.large,2
3.0,0.023,t2.small,0
3.0,0.133,r4.large,0
1.0,0.0832,B2ms,3
4.0,0.0752,t3a.large,2
4.0,0.0928,t2.large,2
3.0,0.0464,t2.medium,0
3.0,0.095,N1s2,0
3.0,0.023,t2.small,0
1.0,0.0188,t3a.small,3
2.0,0.015,Lin.G,1
3.0,0.0376,t3a.medium,0
3.0,0.0928,t2.large,0
2.0,0.126,E2s,1
2.666666667,0.0928,t2.large,0
1.6666666669999999,0.0832,B2ms,1
3.0,0.095,N1s2,0
2.0,0.015,Lin.G,1
3.0,0.1,c4.large,0
2.666666667,0.085,F2s,0
3.333333333,0.0709,N1cc,0
2.0,0.045,Lin.C,1
3.0,0.133,r4.large,0
3.0,0.126,E2s,0
3.0,0.1184,N1M2,0
2.0,0.09,Lin.M,1
4.0,0.085,c5.large,2
3.0,0.1,m4.large,0
4.0,0.0464,t2.medium,2
3.0,0.023,t2.small,0
4.0,0.0752,t3a.large,2
4.0,0.0376,t3a.medium,2
4.0,0.0188,t3a.small,2
3.0,0.0208,t3.small,0
